symptoms,topic
"Abdominal pain,Bone pain (possibly),Delayed puberty,Dizziness,Ear drainage that continues long-term,Eyes that appear to stick out more and more,Irritability,Fever,Frequent urination,Headache,Jaundice,Limping,Mental decline,Rash , of the scalp,Seizures,Short stature,Swollen lymph glands,Thirst,Vomiting,Weight loss,Bone pain,General discomfort, uneasiness, or ,Increased amount of urine,Rash,Thirst and increased drinking of fluids",Histiocytosis
,Histoplasma complement fixation
,Histocompatibility antigen test
,Histiocyte
"Difficulty with bowel movements,Failure to pass meconium shortly after birth,Failure to pass a first stool within 24 to 48 hours after birth,Infrequent but explosive stools,Poor feeding,Poor weight gain, (in the newborn) ,Fecal impaction,Malnutrition",Hirschsprung disease
"Airborne precautions help keep staff, visitors, and other people from breathing in these germs and getting sick.,Germs that warrant airborne precautions include ,, ,, and , bacteria.,People who have these germs should be in special rooms where the air is gently sucked out and not allowed to flow into the hallway. This is called a negative pressure room.,Anyone who goes into the room should put on a well-fitted respirator mask before they enter. ,Contact precautions help keep staff and visitors from spreading the germs after touching a person or an object the person has touched.,Some of the germs that contact precautions protect from are , and norovirus. These germs can cause serious infection in the intestines.,Anyone entering the room who may touch the person or objects in the room should wear a gown and gloves. ,When a person talks, sneezes, or coughs, droplets that contain germs can travel about 3 feet (90 centimeters).,Illnesses that require droplet precautions include influenza (flu), pertussis (whooping cough), and mumps.,Anyone who goes into the room should wear a surgical mask. ",Isolation precautions
"Do not scratch or rub the itchy areas. Keep fingernails short to avoid damaging the skin from scratching. Family members or friends may be able to help by calling attention to your scratching.,Wear cool, light, loose bedclothes. Avoid wearing rough clothing, such as wool, over an itchy area.,Take lukewarm baths using little soap and rinse thoroughly. Try a skin-soothing oatmeal or cornstarch bath.,Apply a soothing lotion after bathing to soften and cool the skin.,Use moisturizer on the skin, especially in the dry winter months. Dry skin is a common cause of itching.,Apply cold compresses to an itchy area.,Avoid prolonged exposure to excessive heat and humidity.,Do activities that distract you from the itching during the day and make you tired enough to sleep at night.,Try over-the-counter oral antihistamines such as diphenhydramine (Benadryl). Be aware of possible side effects such as drowsiness.,Try over-the-counter hydrocortisone cream on itchy areas. ",Itching
"Alcohol swabs,Cleaning supplies,Paint thinners,Perfumes,Rubbing alcohol",Isopropanol overdose
"You may have started IV antibiotics in the hospital that you need to keep getting for a while after you leave the hospital.,For example, infections in the lungs, bones, brain, or other parts of the body may be treated this way. ,Treatment for hormone deficiencies,Medicines for severe nausea that cancer chemotherapy or pregnancy may cause,Patient-controlled analgesia (PCA) for pain (this is IV medicine that patients give themselves),Chemotherapy to treat cancer ",IV treatment at home
,His bundle electrography
,Isolated sleep paralysis
"Try to avoid activities that make pain worse.,Take over-the-counter pain medication, such as ibuprofen or acetaminophen.,Sleep on the side of your body that does not have pain. Put a pillow between your legs.,Lose weight if you are overweight. Ask your health care provider for help.,Try not to stand for long periods of time. If you must stand, do so on a soft, cushioned surface. Stand with an equal amount of weight on each leg.,Wear flat shoes that are cushioned and comfortable. ,Always warm up before exercising and cool down afterward. Stretch your quadriceps and hamstrings.,Avoid running straight down hills. Walk down instead.,Swim instead of run or bicycle.,Run on a smooth, soft surface, such as a track. Avoid running on cement.,If you have flat feet, try special shoe inserts and arch supports (orthotics).,Make sure your running shoes are made well, fit well, and have good cushioning.,Cut down the amount of exercise you do. ",Hip pain
"Keep track of your symptoms and the foods you are eating. This will help you look for a pattern of foods that may make your symptoms worse.,Avoid foods that cause symptoms. These may include fatty or fried foods, dairy products, caffeine, sodas, alcohol, chocolate, and grains such as wheat, rye, and barley.,Eat 4 to 5 smaller meals a day, rather than 3 larger ones. ",Irritable bowel syndrome - aftercare
,Hip replacement - discharge 
"Clogged arteries prevent a healthy supply of blood from flowing to the legs. This means that the tissues in your legs do not get enough nutrients and oxygen.,The lack of nutrients causes cells to die, damaging the tissue.,Damaged tissue that does not get enough blood flow also tends to heal more slowly. ",Ischemic ulcers - self-care
,Hip or knee replacement - before - what to ask your doctor 
,Hip or knee replacement - after - what to ask your doctor 
"You can't sleep through the night because of hip pain.,Your hip pain has not gotten better with other treatments.,Hip pain limits or prevents you from doing your normal activities, such as bathing, preparing meals, doing household chores, and walking.,You have problems walking that require you to use a cane or walker. , in the thigh bone. Older adults often have a hip replacement for this reason.,Hip joint tumors.",Hip joint replacement
"Injury to the hip joint or surrounding area,Overuse or strain from running or other activities",Hip joint injection
,Hip fracture surgery
,Hip fracture - discharge 
,Hip or knee replacement - in the hospital after 
"Remove small pieces of bone or cartilage that may be loose inside your hip joint and causing pain,Repair a torn labrum (a tear in the cartilage that is attached to the rim of your hip socket bone),Hip impingement syndrome (also called femora-acetabular impingement, or FAI). This procedure is done when other treatment has not helped the condition.,Hip pain that does not go away and your doctor suspects a problem that hip arthroscopy can fix. Most of the time, your doctor will first inject numbing medicine into the hip to see if the pain goes away.",Hip arthroscopy
"Fruits,Vegetables,Whole grains ",High-fiber foods
"Weak muscles,Not warming up,Stiff muscles,Trauma or falls ",Hip flexor strain - aftercare
"Nausea,Slow, weak, or irregular pulse,Sudden collapse, when the heartbeat gets too slow or even stops ",High potassium level
"Being very thirsty or having a dry mouth,Having blurry vision,Having dry skin,Feeling weak or tired,Needing to urinate a lot, or needing to get up more often than usual at night to urinate ",High blood sugar
"Double vision, dim vision, or vision loss",High blood pressure and eye disease
,High blood pressure - what to ask your doctor 
,High blood pressure and diet
"Failure to grow and gain weight,Frequent urinary tract infections,Pale skin (pallor),Rapid breathing,Irritability,Seizures,Trouble breathing,Vomiting",High blood pressure - infants
"Severe headache,Nausea and vomiting,Confusion,Vision changes,Nosebleeds ",High blood pressure
"Recommended starting ages are between 20 to 35 for men and 20 to 45 for women.,Adults with normal cholesterol levels do not need to have the test repeated for 5 years.,Repeat testing sooner if changes occur in lifestyle (including weight gain and diet).,Adults with a history of elevated cholesterol, diabetes, kidney problems, heart disease, and other conditions require more frequent testing. ,LDL: 70 to 130 mg/dL (lower numbers are better),HDL: More than 50 mg/dL (high numbers are better),Total cholesterol: Less than 200 mg/dL (lower numbers are better),Triglycerides: 10 to 150 mg/dL (lower numbers are better) ,Blood sugar (glucose) test to look for diabetes,Kidney function tests,Thyroid function tests to look for an underactive thyroid gland ",High blood cholesterol levels
"Shortened foot length,Difficulty fitting shoes, with walking, standing, and running (not everyone has this symptom) ",High arch
"Abdominal surgery,Disease or disorder that irritates the nerves that control the diaphragm (, or ,),Hot and spicy foods or liquids,Harmful fumes,Stroke or tumor affecting the brain ",Hiccups
